Jason Knight: -140	-83	-117	-67	-151	-117	-162	-108
Makwan Amirkhani: 116	253	67	117	136	220	162	216

Claudio Silva: 16	217	230	230	280	386	-41	36
Nordine Taleb: -37	150	-402	-230	-291	-192	41	118

Eric Spicely: -144	-26	-639	-365	-506	-444	-181	-93
Darren Stewart: 171	369	365	639	521	625	181	268

Daniel Kelly: 97	290	212	212	302	404	58	118
Tom Breese: -111	26	-372	-212	-310	-237	-58	2

Gina Mazany: -106	-16	107	107	61	111	-147	-69
Lina Lansberg: 144	289	-188	-107	-40	41	147	224

Bradley Scott: -52	18	130	130	182	209	0	21
Carlo Pedersoli: -47	18	-228	-130	-220	-195	0	21

Gillian Robertson: 199	414	333	333	543	641	245	327
Molly McCann: -229	-132	-583	-333	-557	-512	-245	-164

Elias Theodorou: -360	-160	-660	-377	-616	-504	-345	-202
Trevor Smith: 484	885	377	660	686	910	345	488



Jimmie Rivera: -142	-63	-116	-66	-149	-94	-219	-133
Marlon Moraes: 238	396	66	116	217	328	219	305

Gregor Gillespie: -711	-447	-661	-378	-796	-627	-528	-352
Vinc Pichel: 1120	1789	378	661	1057	1484	528	705

Walt Harris: -314	-184	-297	-170	-356	-275	-330	-220
Daniel Spitz: 408	708	170	297	414	601	330	439

Jake Ellenberger: -128	-40	-130	-74	-152	-99	-200	-117
Ben Saunders: 187	348	74	130	187	283	200	283

Julio Arce: -185	-3	-573	-327	-463	-361	-191	-81
Daniel Teymur: 253	539	327	573	501	662	191	302

Gian Villante: 258	587	84	246	238	426	83	155
Sam Alvey: -272	-79	-147	-84	-246	-136	-83	-10

Sijara Eubanks: -77	52	-268	-153	-222	-154	-80	-2
Lauren Murphy: 36	208	153	268	201	291	80	159

Nik Lentz: 707	1328	148	259	559	908	370	532
David Teymur: -561	-248	-259	-148	-478	-302	-370	-209

Belal Muhammad: -440	-246	-665	-380	-682	-579	-417	-278
Chance Rencountre: 552	986	380	665	740	970	417	556

Desmond Green: -340	-110	-359	-205	-420	-296	-276	-142
Gleison Tibau: 394	806	205	359	449	671	276	409

Jessica Aguilar: -194	-109	-406	-232	-407	-369	-220	-147
Jodie Esquibel: 175	361	232	406	399	482	220	293

Johnny Eduardo: 609	1053	310	543	688	922	337	449
Nathaniel Wood: -452	-263	-543	-310	-605	-506	-337	-224

Jarred Brooks: 506	955	123	215	410	641	231	349
Jose Torres: -365	-123	-215	-123	-337	-213	-231	-113



Robert Whittaker: -128	-58	-362	-207	-185	-125	-197	-115
Yoel Romero: 216	360	207	362	260	383	197	279

Rafael Dos Anjos: -51	51	-179	-102	-84	2	-108	-23
Colby Covington: 144	271	102	179	161	269	108	192

Holly Holm: -198	-74	-168	-96	-206	-103	-215	-109
Megan Anderson: 401	624	96	168	372	556	215	321

Andrei Arlovski: 255	444	135	135	269	425	174	261
Tai Tuivasa: -154	-53	-236	-135	-187	-104	-174	-87

CM Punk: 868	1303	0	0	650	976	376	501
Mike Jackson: -501	-344	0	0	-375	-257	-376	-251

Alistair Overeem: -15	106	-76	-43	-30	71	-18	56
Curtis Blaydes: 17	148	43	76	32	142	18	92

Claudia Gadelha: -291	-214	-683	-390	-403	-339	-343	-229
Carla Esparza: 600	817	390	683	662	843	343	458

Ricardo Lamas: 4	131	92	92	53	153	31	91
Mirsad Bektic: -38	75	-161	-92	-81	8	-31	29

Rashad Coulter: -164	-102	-658	-376	-401	-358	-240	-160
Chris De La Rocha: 219	372	376	658	439	546	240	319

Rashad Evans: 196	328	280	280	316	417	179	249
Anthony Smith: -118	-53	-489	-280	-257	-207	-179	-109

Joseph Benavidez: -342	-244	-653	-373	-443	-362	-389	-255
Sergio Pettis: 747	1019	373	653	779	1004	389	522

Clay Guida: 191	353	89	89	198	321	173	272
Charles Oliveira: -107	-1	-156	-89	-135	-55	-173	-73

Mike Santiago: -56	8	262	262	198	239	-9	12
Dan Ige: -39	31	-458	-262	-259	-214	9	31



Donald Cerrone: 119	299	-88	-50	2	95	109	202
Leon Edwards: -76	59	50	88	21	91	-109	-17

Ovince Saint Preux: 66	196	69	69	122	185	50	120
Tyson Pedro: -31	78	-121	-69	-105	-52	-50	20

Jessica-Rose Clark: -171	-98	-222	-127	-254	-222	-236	-157
Jessica Eye: 226	395	127	222	278	351	236	314

Li Jingliang: -59	44	-666	-380	-585	-542	-83	-21
Daichi Abe: 76	211	380	666	592	647	83	145

Teruto Ishihara: 116	309	368	368	548	638	137	230
Petr Yan: -121	13	-645	-368	-551	-489	-137	-45

Felipe Arantes: -50	44	-205	-117	-200	-164	-44	3
Song Yadong: 12	120	117	205	186	227	44	91

Rolando Dy: -133	-75	280	280	410	431	-114	-76
Shane Young: 35	146	-489	-280	-444	-406	114	152

Song Kenan: -181	-100	-506	-289	-573	-550	-229	-152
Hector Aldana: 170	343	289	506	570	618	229	305

Shinsho Anzai: 106	315	386	386	667	740	129	221
Jake Matthews: -138	7	-676	-386	-678	-628	-129	-38

Viviane Pereira: -24	71	-296	-169	-287	-255	27	68
Yan Xiaonan: -47	46	169	296	263	295	-27	14

Matt Schnell: 56	175	157	157	282	321	50	100
Naoki Inoue: -45	50	-275	-157	-278	-247	-50	0

Jenel Lausa: 261	510	386	386	744	822	306	408
Ulka Sasaki: -255	-140	-676	-386	-742	-706	-306	-204

Ji Yeon Kim: 0	0	-679	-388	0	0	0	0
Melinda Fabian: 0	0	388	679	0	0	0	0



Stipe Miocic: -98	-39	-113	-64	-105	-52	-139	-75
Daniel Cormier: 142	257	64	113	145	247	139	203

Francis Ngannou: -271	-161	-262	-150	-287	-195	-341	-227
Derrick Lewis: 386	647	150	262	384	604	341	454

Paul Felder: -185	-69	-461	-264	-268	-172	-269	-161
Mike Perry: 259	480	264	461	329	511	269	376

Mike Chiesa: -35	85	-142	-81	-59	43	-48	21
Anthony Pettis: 49	189	81	142	72	191	48	118

Gohkan Saki: -97	-11	-210	-120	-138	-70	-138	-70
Khalil Rountree Jr.: 98	237	120	210	139	250	138	205

Uriah Hall: 281	479	293	293	365	526	291	388
Paulo Costa: -203	-119	-513	-293	-302	-234	-291	-194

Raphael Assuncao: -132	-18	-338	-193	-200	-107	-176	-83
Rob Font: 183	371	193	338	240	393	176	269

Curtis Millender: -326	-193	-373	-213	-381	-283	-339	-226
Max Griffin: 454	772	213	373	475	708	339	452

Dan Hooker: -595	-283	-86	-49	-460	-237	-268	-150
Gilbert Burns: 808	1457	49	86	612	1076	268	387

Lando Vannata: 37	213	-225	-128	-47	88	33	122
Drakkar Klose: -20	142	128	225	59	184	-33	56

Jamie Moyle: -270	-149	-543	-310	-420	-335	-333	-222
Emily Whitmire: 296	561	310	543	438	625	333	444



Junior Dos Santos: -34	116	-152	-87	-86	22	-48	40
Blagoy Ivanov: 64	234	87	152	108	230	48	137

Sage Northcutt: -88	66	-144	-82	-122	-13	-74	8
Zak Ottow: 102	301	82	144	132	274	74	157

Dennis Bermudez: -179	-112	-340	-194	-272	-226	-261	-174
Rick Glenn: 281	448	194	340	343	460	261	348

Randy Brown: -437	-208	115	115	-171	-26	-226	-137
Niko Price: 457	918	-201	-115	184	476	226	315

Myles Jury: -19	383	84	84	54	329	109	244
Chad Mendes: 95	522	-148	-84	-2	290	-109	26

Cat Zingano: 317	715	41	41	250	523	95	193
Marion Reneau: -272	-23	-72	-41	-220	-48	-95	2

Eddie Wineland: 477	974	194	194	481	788	219	321
Alejandro Perez: -455	-195	-340	-194	-467	-306	-219	-117

Darren Elkins: -179	193	-93	-53	-164	85	-80	54
Alexander Volkanovski: 270	758	53	93	225	552	80	214

Justin Scoggins: 472	928	181	181	466	759	231	334
Said Nurmagomedov: -421	-188	-317	-181	-432	-283	-231	-129

Kurt Holobaugh: 447	786	-186	-106	139	331	203	271
Raoni Barcelos: -370	-233	106	186	-95	-17	-203	-135

Liz Carmouche: -139	-80	115	115	44	77	-138	-92
Jennifer Maia: 60	188	-201	-115	-89	-15	138	185

Mark De La Rosa: -174	-96	72	72	-3	37	-139	-93
Elias Garcia: 68	213	-126	-72	-52	24	139	186

Jessica Aguilar: -479	-128	-317	-181	-468	-267	-185	-60
Jodie Esquibel: 500	1089	181	317	480	818	185	310



Shogun Rua: 215	541	85	85	214	453	66	161
Anthony Smith: -183	45	-149	-85	-191	-24	-66	29

Glover Teixeira: -132	-42	-600	-343	-309	-241	-166	-89
Corey Anderson: 141	305	343	600	316	440	166	244

Vitor Miranda: 498	961	118	118	417	692	281	375
Abu Azaitar: -471	-258	-207	-118	-400	-274	-281	-187

Marcin Tybura: -225	-103	-563	-322	-378	-288	-262	-151
Stefan Struve: 352	598	322	563	472	652	262	374

Danny Roberts: -331	-184	-177	-101	-289	-222	-422	-281
David Zawada: 410	738	101	177	325	473	422	563

Nasrat Haqparast: 217	453	302	302	398	555	155	258
Marc Diakiese: -145	8	-529	-302	-349	-247	-155	-51

Nick Hein: -31	72	-500	-286	-366	-313	-9	47
Damir Hadzovic: 18	138	286	500	359	421	9	65

Emil Meek: -200	-72	-323	-184	-286	-199	-219	-119
Bartosz Fabinski: 282	522	184	323	341	503	219	319

Khalid Taha: 74	191	322	322	467	521	123	164
Nad Narimani: -131	-74	-563	-322	-494	-467	-123	-82

Justin Ledet: -288	-169	-265	-151	-330	-267	-296	-197
Alexsandar Rakic: 324	596	151	265	349	494	296	395

Davey Grant: 1	82	380	380	446	489	57	76
Manny Bermudez: -104	-59	-665	-380	-500	-477	-57	-38

Jeremy Kimball: 147	384	322	322	490	603	150	260
Darko Stosic: -136	25	-563	-322	-485	-407	-150	-40

Damian Stasiak: 50	183	42	42	81	140	110	165
Pingyuan Liu: -103	-13	-74	-42	-105	-65	-110	-54




Eddie Alvarez: 34	147	116	116	66	165	29	79
Dustin Poirier: -41	41	-203	-116	-72	0	-29	22

Jose Aldo: -209	-77	-120	-68	-205	-90	-264	-149
Jeremy Stephens: 331	581	68	120	311	528	264	380

Joanna Jedrzejczyk: -676	-443	-592	-338	-698	-493	-525	-350
Tecia Torres: 1180	1771	338	592	1139	1656	525	700

Alexander Hernandez: -118	11	131	131	-41	66	-95	-13
Olivier Aubin-Mercier: 165	359	-229	-131	80	241	95	177

Jordan Mein: -44	61	-163	-93	-98	-23	-47	16
Alex Morono: 32	155	93	163	89	177	47	109

Hakeem Dawodu: -211	-65	-636	-363	-390	-282	-286	-156
Austin Arnett: 300	564	363	636	456	653	286	415

Kajan Johnson: 265	503	320	320	371	561	273	393
